ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
7.5,9.25,7.75,0.5,1.5,0.25,2.5,-12.1543885020381,5.35,-14.9210405599614,,
7.5,9.25,7.75,0.75,1.5,0.25,2.45,-14.4781155940431,5.35,-16.5433417641458,,
7.5,9.25,7.75,1,1.5,0.25,2.45,-14.6990675158935,5.1,-10.7905982564538,5.75,-13.6132230387896
7.75,9.25,7.75,0.5,1.5,0.25,2.45,-13.5780989417297,5.3,-20.1773391193798,5.85,-10.7721162884612
7.75,9.25,7.75,0.75,1.5,0.25,2.45,-17.9293257992741,5.3,-19.101572103823,5.85,-10.9408358584073
7.75,9.25,7.75,1,1.5,0.25,2.4,-15.8878983227282,5.3,-19.2637529967209,5.85,-11.6631895927053
8,9.25,7.75,0.5,1.5,0.25,2.45,-14.4022393385343,5.15,-22.2987142862479,5.7,-13.666719245094
8,9.25,7.75,0.75,1.5,0.25,2.45,-19.8438210664427,5.25,-19.4698684862781,5.8,-11.5466469609795
8,9.25,7.75,1,1.5,0.25,2.4,-26.450162439178,5.3,-27.9722583822032,5.85,-11.547531284125
7.5,9.25,7.75,0.5,1.75,0.25,2.45,-10.956787211751,5.4,-14.1621633442369,,
7.5,9.25,7.75,0.75,1.75,0.25,2.45,-14.1426953405563,5.3,-15.2839009867018,5.85,-10.2287561897864
7.5,9.25,7.75,1,1.75,0.25,2.4,-15.8174385091172,5.3,-14.4155014602534,5.85,-10.496124170906
7.75,9.25,7.75,0.5,1.75,0.25,2.45,-14.6963532294653,5.25,-18.0462136723488,5.85,-10.8094269381749
7.75,9.25,7.75,0.75,1.75,0.25,2.45,-14.2323532434025,5.25,-22.6570276444634,5.85,-11.0639697050899
7.75,9.25,7.75,1,1.75,0.25,2.4,-23.7450849335194,5.25,-20.2909552484119,5.85,-11.0349082425938
8,9.25,7.75,0.5,1.75,0.25,2.45,-16.3647509220792,5.2,-22.4157855354284,5.8,-11.5742809487262
8,9.25,7.75,0.75,1.75,0.25,2.4,-17.7998216271566,5.25,-19.814898726411,5.85,-10.7568086799695
8,9.25,7.75,1,1.75,0.25,2.4,-27.580960130178,5.2,-22.634824735527,5.85,-11.4351737376003
7.5,9.25,7.75,0.5,2,0.25,2.45,-13.0638343109832,5.25,-15.3712926552273,,
7.5,9.25,7.75,0.75,2,0.25,2.4,-13.0088729073783,5.25,-15.2287492220658,5.9,-10.0777895096701
7.5,9.25,7.75,1,2,0.25,2.4,-18.6611885177407,5.3,-17.8385779891532,,
7.75,9.25,7.75,0.5,2,0.25,2.45,-14.3735374476314,5.35,-19.0278780251581,,
7.75,9.25,7.75,0.75,2,0.25,2.4,-16.4702163992262,5.25,-20.587267285417,,
7.75,9.25,7.75,1,2,0.25,2.4,-19.124687684899,5.05,-17.680831163009,5.75,-14.2694183689456
8,9.25,7.75,0.5,2,0.25,2.45,-13.9618023476328,5.15,-25.3350138555973,5.8,-12.0936363139172
8,9.25,7.75,0.75,2,0.25,2.4,-24.2683303614903,5.2,-23.1120876076381,5.85,-11.9928982966024
8,9.25,7.75,1,2,0.25,2.4,-16.19865692631,5.15,-17.4074965029888,5.8,-13.112893807225
7.5,9.5,7.75,0.5,1.5,0.25,2.45,-11.5827424846589,5.35,-16.6414576989522,,
7.5,9.5,7.75,0.75,1.5,0.25,2.4,-16.9106609371507,5.3,-17.1638345836532,5.75,-10.9250779843779
7.5,9.5,7.75,1,1.5,0.25,2.4,-17.8400695687778,5.3,-17.2016224520241,5.75,-11.2395237954574
7.75,9.5,7.75,0.5,1.5,0.25,2.4,-15.8490453223377,5.3,-22.2029249416296,5.8,-10.0404679152864
7.75,9.5,7.75,0.75,1.5,0.25,2.4,-18.0097392001334,5.3,-25.8503670302145,5.8,-11.03314471934
7.75,9.5,7.75,1,1.5,0.25,2.35,-19.2954651751002,5.3,-20.3534602716266,5.8,-12.0607224166142
8,9.5,7.75,0.5,1.5,0.25,2.4,-19.9875464565895,5.25,-36.8287495873342,5.75,-10.7365659563974
8,9.5,7.75,0.75,1.5,0.25,2.4,-18.5117826896879,5.15,-22.2949402469663,5.6,-13.5465171748419
8,9.5,7.75,1,1.5,0.25,2.35,-22.1553916948268,5.25,-28.6409474740374,5.75,-11.9926390260302
7.5,9.5,7.75,0.5,1.75,0.25,2.4,-14.6854364038195,5.3,-16.4169120462776,,
7.5,9.5,7.75,0.75,1.75,0.25,2.4,-13.5451931701628,5.3,-18.6759133618699,,
7.5,9.5,7.75,1,1.75,0.25,2.35,-19.0027145995493,5.3,-18.9287945084273,,
7.75,9.5,7.75,0.5,1.75,0.25,2.4,-15.2379358785948,5.2,-21.1255330649852,5.7,-10.5589386329283
7.75,9.5,7.75,0.75,1.75,0.25,2.4,-17.3991327279617,5.1,-15.6796847564873,5.65,-13.7589087034582
7.75,9.5,7.75,1,1.75,0.25,2.35,-17.4624309092364,5.3,-22.9256890545901,,
8,9.5,7.75,0.5,1.75,0.25,2.4,-16.473521655664,5.2,-34.1506835890094,5.75,-10.7681068125554
8,9.5,7.75,0.75,1.75,0.25,2.35,-15.9597539744725,5.25,-20.8250452939933,,
8,9.5,7.75,1,1.75,0.25,2.35,-27.4072689631792,5.1,-23.7733584391662,5.7,-13.6501903585085
7.5,9.5,7.75,0.5,2,0.25,2.4,-12.5679446556482,5.3,-16.5167088563139,,
7.5,9.5,7.75,0.75,2,0.25,2.35,-12.94488129466,5.25,-20.2268836778675,,
7.5,9.5,7.75,1,2,0.25,2.35,-19.2158416486961,5.3,-18.2144245435298,,
7.75,9.5,7.75,0.5,2,0.25,2.35,-14.3942819626903,5.25,-23.7783500406917,,
7.75,9.5,7.75,0.75,2,0.25,2.35,-22.5258788293635,5.25,-26.9594093557809,5.85,-10.2534707651817
7.75,9.5,7.75,1,2,0.25,2.35,-17.7778219923579,5.25,-34.7616291410432,,
8,9.5,7.75,0.5,2,0.25,2.35,-18.1212601701641,5.2,-29.9338585645934,,
8,9.5,7.75,0.75,2,0.25,2.35,-21.0398106190204,5.2,-24.3297476728264,5.85,-10.4355525289054
8,9.5,7.75,1,2,0.25,2.3,-14.5916612188435,5.2,-22.9365867110985,5.85,-10.6346537624851
7.5,9,8,0.5,1.5,0.25,2.5,-11.4237638073267,5.25,-11.8229335156895,5.85,-10.6166900195464
7.5,9,8,0.75,1.5,0.25,2.5,-13.862477624824,5.3,-11.818930349989,5.85,-10.7805945924617
7.5,9,8,1,1.5,0.25,2.45,-14.6328685948826,5.2,-11.3723409573409,5.85,-12.1001218692278
7.75,9,8,0.5,1.5,0.25,2.5,-13.2408362410222,5.2,-15.0422950599351,5.8,-12.5083165111962
