ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
8,9,7.5,0.5,1.5,0.75,2.5,-14.9410621199154,5.25,-20.7177435101299,,
8,9,7.5,0.75,1.5,0.75,2.45,-16.74219328986,5.25,-29.7604779570481,5.9,-10.5551825469183
8,9,7.5,1,1.5,0.75,2.45,-23.3237897937091,5.25,-18.2067780295804,5.85,-11.4961713537974
7.5,9,7.5,0.5,1.75,0.75,2.5,-11.9196104322785,5.35,-14.3740678410737,,
7.5,9,7.5,0.75,1.75,0.75,2.5,-13.163870900646,5.3,-16.4350984615132,,
7.5,9,7.5,1,1.75,0.75,2.45,-17.982944298078,5.3,-16.8787434629234,,
7.75,9,7.5,0.5,1.75,0.75,2.5,-14.2204965299612,5.3,-20.9735652821985,,
7.75,9,7.5,0.75,1.75,0.75,2.45,-15.5922304521371,5.3,-17.9157410031304,,
7.75,9,7.5,1,1.75,0.75,2.45,-20.750066273422,5.3,-20.9790787246541,,
8,9,7.5,0.5,1.75,0.75,2.5,-14.2706343572607,5.25,-27.548535187636,,
8,9,7.5,0.75,1.75,0.75,2.45,-19.2750726616412,5.25,-40.0362886673846,5.95,-10.0742272682877
8,9,7.5,1,1.75,0.75,2.45,-19.6792818971328,5.25,-25.1221501149886,5.95,-10.507792442741
7.5,9,7.5,0.5,2,0.75,2.5,-12.2492768567853,5.25,-17.3006193345577,,
7.5,9,7.5,0.75,2,0.75,2.45,-14.3453010590396,5.3,-17.4112502924131,,
7.5,9,7.5,1,2,0.75,2.45,-17.6412571354326,5.3,-18.8284693294822,,
7.75,9,7.5,0.5,2,0.75,2.5,-12.5560405276619,5.3,-16.8414333988035,,
7.75,9,7.5,0.75,2,0.75,2.45,-18.2653175216842,5.25,-22.8770853698843,,
7.75,9,7.5,1,2,0.75,2.45,-16.0537165494834,5.25,-24.3835955201032,,
8,9,7.5,0.5,2,0.75,2.45,-15.0065941854228,5.25,-21.1804930060801,,
8,9,7.5,0.75,2,0.75,2.45,-17.8798411867377,5.2,-41.6374813761974,,
8,9,7.5,1,2,0.75,2.4,-19.1527809502401,5.25,-22.1114981055898,,
7.5,9.25,7.5,0.5,1.5,0.75,2.5,-11.7767445779945,5.35,-15.8019343612422,,
7.5,9.25,7.5,0.75,1.5,0.75,2.45,-15.3772345650504,5.3,-14.2264757955365,5.85,-10.1405323732645
7.5,9.25,7.5,1,1.5,0.75,2.45,-15.5252601604092,5.3,-15.8122765293249,,
7.75,9.25,7.5,0.5,1.5,0.75,2.45,-14.4376463389789,5.3,-16.3661380401404,5.8,-10.1826203956706
7.75,9.25,7.5,0.75,1.5,0.75,2.45,-18.4949507263291,5.3,-23.9496625086618,5.85,-10.3599842868843
7.75,9.25,7.5,1,1.5,0.75,2.4,-16.2636667525085,5.3,-21.1591052099583,5.9,-10.4478925755447
8,9.25,7.5,0.5,1.5,0.75,2.45,-15.0618542820846,5.25,-32.0279041891794,,
8,9.25,7.5,0.75,1.5,0.75,2.45,-18.8012166782275,5.25,-24.3071700858947,5.85,-10.9309650888473
8,9.25,7.5,1,1.5,0.75,2.4,-23.4463105384308,5.3,-22.7218283131264,5.9,-10.7877679873654
7.5,9.25,7.5,0.5,1.75,0.75,2.45,-12.6767936250379,5.3,-15.4508551130291,,
7.5,9.25,7.5,0.75,1.75,0.75,2.45,-14.2810385108679,5.3,-17.0375917760292,,
7.5,9.25,7.5,1,1.75,0.75,2.4,-16.2346294172994,5.3,-17.1764804855629,,
7.75,9.25,7.5,0.5,1.75,0.75,2.45,-14.1649948109818,5.25,-19.0016519858528,,
7.75,9.25,7.5,0.75,1.75,0.75,2.4,-14.9653914832271,5.25,-18.3005980752779,,
7.75,9.25,7.5,1,1.75,0.75,2.4,-22.2514959981999,5.25,-28.3721365502828,,
8,9.25,7.5,0.5,1.75,0.75,2.45,-15.7704924988359,5.2,-19.9503666156858,,
8,9.25,7.5,0.75,1.75,0.75,2.4,-18.047382152563,5.25,-22.1914364470759,,
8,9.25,7.5,1,1.75,0.75,2.4,-23.6265053343454,5.2,-27.496562128491,5.85,-11.6766005639814
7.5,9.25,7.5,0.5,2,0.75,2.45,-12.7586431811801,5.3,-16.5798618131027,,
7.5,9.25,7.5,0.75,2,0.75,2.4,-13.2863357809627,5.3,-17.4952615717606,,
7.5,9.25,7.5,1,2,0.75,2.4,-18.7144595567097,5.3,-20.3835895981667,,
7.75,9.25,7.5,0.5,2,0.75,2.45,-13.267338626196,5.25,-22.2241127593806,,
7.75,9.25,7.5,0.75,2,0.75,2.4,-16.7576477250302,5.25,-26.9042322617125,,
7.75,9.25,7.5,1,2,0.75,2.4,-19.9499511606485,5.25,-24.6525591972255,,
8,9.25,7.5,0.5,2,0.75,2.4,-13.7915241204133,5.15,-44.5162271102166,,
8,9.25,7.5,0.75,2,0.75,2.4,-23.5942956082524,5.2,-23.6027853639023,,
8,9.25,7.5,1,2,0.75,2.4,-17.0273775996981,5.25,-25.666445305488,,
7.5,9.5,7.5,0.5,1.5,0.75,2.4,-11.7787561021468,5.3,-15.711951555369,,
7.5,9.5,7.5,0.75,1.5,0.75,2.4,-16.8199078209622,5.35,-17.0954941252938,,
7.5,9.5,7.5,1,1.5,0.75,2.4,-16.5297485559813,5.35,-19.2665722203476,,
7.75,9.5,7.5,0.5,1.5,0.75,2.4,-13.9982449098069,5.3,-21.4776302200592,,
7.75,9.5,7.5,0.75,1.5,0.75,2.4,-18.618888434774,5.3,-23.1920478562888,,
7.75,9.5,7.5,1,1.5,0.75,2.35,-15.9374444157387,5.25,-22.5938823157328,,
8,9.5,7.5,0.5,1.5,0.75,2.4,-15.1391838792513,5.2,-21.3377781766988,,
8,9.5,7.5,0.75,1.5,0.75,2.4,-20.0931970040481,5.25,-26.7132928770267,,
8,9.5,7.5,1,1.5,0.75,2.35,-24.0906877220248,5.25,-23.4118642903478,,
7.5,9.5,7.5,0.5,1.75,0.75,2.4,-13.0025185091417,5.3,-17.4951216977511,,
7.5,9.5,7.5,0.75,1.75,0.75,2.4,-15.0732395526113,5.3,-16.9624636137581,,
7.5,9.5,7.5,1,1.75,0.75,2.35,-18.3654336895928,5.3,-20.0830407421055,,
7.75,9.5,7.5,0.5,1.75,0.75,2.4,-16.4792255343855,5.3,-22.7890076821128,,
7.75,9.5,7.5,0.75,1.75,0.75,2.35,-14.4405846012398,5.3,-19.6726420772404,,
7.75,9.5,7.5,1,1.75,0.75,2.35,-20.2243096942258,5.15,-16.6853788844306,5.65,-12.7337120578259
8,9.5,7.5,0.5,1.75,0.75,2.4,-16.6709950446464,5.2,-31.1306701765624,,
8,9.5,7.5,0.75,1.75,0.75,2.35,-14.7316092059044,5.2,-22.9658196919824,,
8,9.5,7.5,1,1.75,0.75,2.35,-22.7957926268348,5.25,-23.2803061163812,,
7.5,9.5,7.5,0.5,2,0.75,2.4,-13.4270674649992,5.3,-16.8488965182534,,
7.5,9.5,7.5,0.75,2,0.75,2.35,-14.1559738087474,5.25,-19.1205858275057,,
7.5,9.5,7.5,1,2,0.75,2.35,-20.9030693993955,5.25,-17.1174937481201,,
7.75,9.5,7.5,0.5,2,0.75,2.4,-12.6927370052306,5.25,-24.0784707403766,,
7.75,9.5,7.5,0.75,2,0.75,2.35,-17.1498400651548,5.2,-26.4424416106404,,
7.75,9.5,7.5,1,2,0.75,2.35,-16.9843781685739,5.2,-19.7423485199314,,
8,9.5,7.5,0.5,2,0.75,2.4,-14.0421481279157,5.2,-28.2305148445267,,
8,9.5,7.5,0.75,2,0.75,2.35,-27.5978338082879,5.2,-27.0548409320407,,
8,9.5,7.5,1,2,0.75,2.35,-15.1401057968322,5.2,-22.5637151469148,,
7.5,9,7.75,0.5,1.5,0.75,2.5,-12.0831628366015,5.25,-11.1617228075396,5.85,-10.5955058803564
7.5,9,7.75,0.75,1.5,0.75,2.5,-12.9643898514513,5.25,-11.7485065014627,5.85,-10.5656131829434
7.5,9,7.75,1,1.5,0.75,2.45,-15.491386706563,5.25,-14.2737018000926,5.9,-10.6805895864008
7.75,9,7.75,0.5,1.5,0.75,2.5,-12.6192068506462,5.15,-16.8172119428162,5.8,-11.9391608275553
7.75,9,7.75,0.75,1.5,0.75,2.5,-14.9093773375173,5.15,-13.3211774879546,5.8,-11.2264658759657
7.75,9,7.75,1,1.5,0.75,2.45,-20.0268270095816,5.25,-15.0692110311004,5.9,-11.5480056040564
8,9,7.75,0.5,1.5,0.75,2.5,-14.7009472035445,5.2,-23.7534293944367,5.8,-11.4385439624174
8,9,7.75,0.75,1.5,0.75,2.45,-18.0394342587601,5.15,-22.4502064220387,5.8,-13.0126632092418
8,9,7.75,1,1.5,0.75,2.45,-24.738204944538,5.2,-21.5878542028583,5.85,-13.5516118805273
7.5,9,7.75,0.5,1.75,0.75,2.5,-11.9165174909299,5.25,-14.2035582083583,,
7.5,9,7.75,0.75,1.75,0.75,2.45,-12.9006964472843,5.2,-14.2341018269471,5.9,-10.3094401899733
7.5,9,7.75,1,1.75,0.75,2.45,-17.006845945187,5.25,-14.279517235814,5.9,-10.1419888444428
7.75,9,7.75,0.5,1.75,0.75,2.5,-13.7187061004933,5.2,-17.3954911258308,5.85,-11.1904238249358
7.75,9,7.75,0.75,1.75,0.75,2.45,-16.4487214534558,5.2,-20.7090156723361,5.9,-11.57346971555
7.75,9,7.75,1,1.75,0.75,2.45,-20.6172441000855,5.2,-16.8892281410423,5.95,-11.3501187149532
8,9,7.75,0.5,1.75,0.75,2.5,-13.9701180460185,5.15,-16.8226362172787,5.85,-11.8998243809771
8,9,7.75,0.75,1.75,0.75,2.45,-20.1471811600774,5.15,-21.0367834863707,5.85,-12.3124662370426
8,9,7.75,1,1.75,0.75,2.45,-16.7574954401475,5.2,-19.3456596450595,5.9,-12.5945116744293
7.5,9,7.75,0.5,2,0.75,2.5,-12.3600170892822,5.2,-15.9241577238733,,
7.5,9,7.75,0.75,2,0.75,2.45,-15.0231034143616,5.6,-10.6472370110859,,
7.5,9,7.75,1,2,0.75,2.45,-15.8786477261114,5.6,-10.8434759690309,,
7.75,9,7.75,0.5,2,0.75,2.45,-12.3520776506998,5.2,-18.3542682286856,,
7.75,9,7.75,0.75,2,0.75,2.45,-18.0096872459391,5.2,-21.529205311852,5.95,-10.5798052436906
7.75,9,7.75,1,2,0.75,2.4,-16.3486320618429,5.5,-13.3943450067442,,
8,9,7.75,0.5,2,0.75,2.45,-16.4021973293153,5.15,-19.192810391923,5.85,-11.3927653951257
8,9,7.75,0.75,2,0.75,2.45,-19.1301582006212,5.15,-21.936354199962,5.9,-11.146949477647
8,9,7.75,1,2,0.75,2.4,-20.6791783402878,5.15,-20.6716200069886,5.95,-11.9094120685958
7.5,9.25,7.75,0.5,1.5,0.75,2.45,-11.4390714318949,5.25,-12.8575134007443,5.8,-10.181576807039
7.5,9.25,7.75,0.75,1.5,0.75,2.45,-15.1856537474141,5.15,-13.9467515924632,5.75,-11.8205576925013
7.5,9.25,7.75,1,1.5,0.75,2.45,-14.91056595842,5.25,-14.7376267390611,5.85,-10.8449967163764
7.75,9.25,7.75,0.5,1.5,0.75,2.45,-14.005625850542,5.25,-15.8661294662029,5.8,-12.0936408022565
7.75,9.25,7.75,0.75,1.5,0.75,2.45,-17.0310899354474,5.2,-22.9050161484552,5.8,-11.5653178126256
7.75,9.25,7.75,1,1.5,0.75,2.4,-18.1695830457121,5.2,-16.0605343639097,5.8,-11.909072346638
8,9.25,7.75,0.5,1.5,0.75,2.45,-16.7686094609769,5.15,-17.7431762270592,5.75,-12.7714716781632
8,9.25,7.75,0.75,1.5,0.75,2.45,-17.2428823340209,5.2,-26.6496283483942,5.8,-12.7694592209911
8,9.25,7.75,1,1.5,0.75,2.4,-26.4129842322542,5.15,-18.5244664786271,5.75,-14.2418677254872
7.5,9.25,7.75,0.5,1.75,0.75,2.45,-12.8008560038665,5.25,-12.668451523097,,
7.5,9.25,7.75,0.75,1.75,0.75,2.4,-12.7727695122192,5.15,-12.300458208843,5.75,-11.6331591344801
7.5,9.25,7.75,1,1.75,0.75,2.4,-16.9885844841522,5.25,-15.5188536435472,5.9,-10.4981251190951
7.75,9.25,7.75,0.5,1.75,0.75,2.45,-13.2500511923205,5.15,-17.8295651111963,5.75,-12.0606339675985
7.75,9.25,7.75,0.75,1.75,0.75,2.45,-14.2492527704883,5.2,-18.7293336420198,5.8,-11.1750572601053
7.75,9.25,7.75,1,1.75,0.75,2.4,-22.3366813796579,5.2,-24.9785294253907,5.85,-11.5087933924841
8,9.25,7.75,0.5,1.75,0.75,2.45,-15.1428127054401,5.2,-20.5926376182566,5.8,-11.1695953432776
8,9.25,7.75,0.75,1.75,0.75,2.4,-21.0840899245923,5.15,-35.0167788899397,5.8,-12.4382041730813
8,9.25,7.75,1,1.75,0.75,2.4,-23.783736780185,5.15,-19.8950806107675,5.85,-12.4030468747849
7.5,9.25,7.75,0.5,2,0.75,2.45,-12.8580990187547,5.25,-14.6273884357255,,
7.5,9.25,7.75,0.75,2,0.75,2.4,-13.9967914624338,5.2,-16.6879856088672,5.85,-10.0892814698426
7.5,9.25,7.75,1,2,0.75,2.4,-18.1838132979193,5.2,-17.0506732195582,5.9,-10.0740401204874
7.75,9.25,7.75,0.5,2,0.75,2.45,-13.1516369801091,5.2,-20.6177052051015,,
7.75,9.25,7.75,0.75,2,0.75,2.4,-18.3558982095109,5.2,-21.7326377766714,5.9,-10.7263928518035
7.75,9.25,7.75,1,2,0.75,2.4,-19.4410586731324,5.2,-21.4870294109665,5.9,-11.243648641842
8,9.25,7.75,0.5,2,0.75,2.4,-15.1338971386985,5.1,-18.7311326796563,5.8,-10.74353507
8,9.25,7.75,0.75,2,0.75,2.4,-20.4418790350007,5.1,-18.0892459707935,5.8,-11.4303917891244
8,9.25,7.75,1,2,0.75,2.35,-17.0004696634613,5.1,-21.7596547001649,5.85,-11.3654933088207
7.5,9.5,7.75,0.5,1.5,0.75,2.45,-12.1943515541576,5.25,-14.99855834306,5.75,-10.8856080399207
7.5,9.5,7.75,0.75,1.5,0.75,2.4,-15.3196050432071,5.15,-16.6284390958112,5.65,-11.5149880857172
7.5,9.5,7.75,1,1.5,0.75,2.4,-15.5041082878825,5.25,-16.4538874248624,5.75,-10.8720880047921
7.75,9.5,7.75,0.5,1.5,0.75,2.4,-15.2695157419759,5.2,-16.9082666432863,5.7,-11.4027906470688
7.75,9.5,7.75,0.75,1.5,0.75,2.4,-17.2421423436275,5.2,-22.909589933978,5.7,-12.339255465068
7.75,9.5,7.75,1,1.5,0.75,2.35,-15.7945813398593,5.25,-17.6718486746181,5.75,-12.3388666716475
8,9.5,7.75,0.5,1.5,0.75,2.4,-17.518896203655,5.15,-29.1134311977096,5.65,-12.2578177219878
8,9.5,7.75,0.75,1.5,0.75,2.4,-16.6402930046228,5.2,-18.9152616400298,5.7,-13.1163801170737
8,9.5,7.75,1,1.5,0.75,2.35,-28.1230079265643,5.2,-19.3396173725154,5.7,-13.1931150470999
7.5,9.5,7.75,0.5,1.75,0.75,2.4,-14.111260381648,5.2,-15.0677440861589,5.75,-10.9020275283547
7.5,9.5,7.75,0.75,1.75,0.75,2.4,-14.4416758190937,5.25,-14.2188442475583,5.8,-10.8432393627059
7.5,9.5,7.75,1,1.75,0.75,2.35,-18.2900894107463,5.25,-16.1104194398811,5.8,-11.0983367979706
7.75,9.5,7.75,0.5,1.75,0.75,2.4,-16.0103989224144,5.2,-18.7168214082242,5.8,-10.4436180100407
7.75,9.5,7.75,0.75,1.75,0.75,2.35,-14.5034152104619,5.15,-25.2639527473129,5.7,-10.0792236023807
7.75,9.5,7.75,1,1.75,0.75,2.35,-25.842865134773,5.2,-18.0766701749865,5.75,-12.3483568095882
8,9.5,7.75,0.5,1.75,0.75,2.4,-14.7256134681387,5.15,-32.9768202474871,5.7,-11.3718078533007
8,9.5,7.75,0.75,1.75,0.75,2.35,-18.1837390618719,5.1,-18.5037338065984,5.7,-12.8845418767413
8,9.5,7.75,1,1.75,0.75,2.35,-21.3362655990609,5.1,-18.2969554451099,5.7,-13.102062155811
7.5,9.5,7.75,0.5,2,0.75,2.4,-12.7214614445621,5.2,-14.396541639144,,
7.5,9.5,7.75,0.75,2,0.75,2.35,-14.6097455022755,5.25,-16.4241082929753,,
7.5,9.5,7.75,1,2,0.75,2.35,-20.0239067416537,5.2,-15.8978926291952,5.8,-10.6376226103907
7.75,9.5,7.75,0.5,2,0.75,2.4,-12.3619606049151,5.2,-21.6341108638635,5.8,-10.4149044897749
7.75,9.5,7.75,0.75,2,0.75,2.35,-19.1614256978289,5.1,-18.307218244004,5.75,-12.1025946734933
7.75,9.5,7.75,1,2,0.75,2.35,-16.537686373277,5.15,-23.1008179864603,5.8,-11.5004696342181
8,9.5,7.75,0.5,2,0.75,2.35,-16.6026051216432,5.15,-35.8528847826786,5.8,-10.74081396704
8,9.5,7.75,0.75,2,0.75,2.35,-20.0799769271927,5.1,-18.2244390545655,5.7,-12.7729431118891
8,9.5,7.75,1,2,0.75,2.35,-14.6535985939643,5.15,-25.9817288057656,5.8,-11.9478965689404
7.5,9,8,0.5,1.5,0.75,2.5,-10.9288295358146,5.2,-11.4998942896151,5.85,-10.8355292034357
7.5,9,8,0.75,1.5,0.75,2.5,-14.3388620157575,5.1,-11.2836675291396,5.8,-11.9506134125239
7.5,9,8,1,1.5,0.75,2.45,-16.4384425920379,5.15,-13.6295747836357,5.9,-11.5632545168922
7.75,9,8,0.5,1.5,0.75,2.5,-14.1885292575498,5.15,-15.2622770729518,5.8,-12.390898350479
7.75,9,8,0.75,1.5,0.75,2.45,-14.6878608118106,5.0,-11.6528544810138,5.75,-13.1871211450878
7.75,9,8,1,1.5,0.75,2.45,-20.3657287372407,5.1,-13.4600663978542,5.85,-13.7595068615597
8,9,8,0.5,1.5,0.75,2.5,-14.0630835587483,5.1,-19.3013559132687,5.75,-14.2373955514794
8,9,8,0.75,1.5,0.75,2.45,-17.6715906648653,5.1,-22.4363478486075,5.8,-15.2129385271218
8,9,8,1,1.5,0.75,2.45,-18.0212353326614,5.0,-16.3272194824486,5.75,-15.9333159515052
7.5,9,8,0.5,1.75,0.75,2.5,-12.2128119598043,5.15,-11.8756769906311,5.85,-10.7106620002394
7.5,9,8,0.75,1.75,0.75,2.45,-13.8040729286177,5.15,-12.5560098965778,5.9,-11.0715330876821
7.5,9,8,1,1.75,0.75,2.45,-17.1279932656763,5.15,-13.6095010738529,5.9,-11.6028923958157
7.75,9,8,0.5,1.75,0.75,2.5,-12.7945979427924,5.15,-15.7472885114875,5.85,-12.3961759708536
7.75,9,8,0.75,1.75,0.75,2.45,-16.7240498296095,5.1,-17.4024655025448,5.85,-12.8828916029969
7.75,9,8,1,1.75,0.75,2.45,-18.8167516938387,5.15,-14.7668381001176,5.9,-12.468926692862
8,9,8,0.5,1.75,0.75,2.45,-14.9193055009391,5.0,-17.0579938180577,5.75,-14.3405293432188
8,9,8,0.75,1.75,0.75,2.45,-19.7368382591248,5.05,-16.7980486767656,5.8,-14.3652980110298
8,9,8,1,1.75,0.75,2.4,-16.4754907282616,5.1,-31.20260704897,5.85,-14.8865218976868
7.5,9,8,0.5,2,0.75,2.5,-11.4701164604187,5.15,-13.2761275161711,5.9,-10.5991968079435
7.5,9,8,0.75,2,0.75,2.45,-14.728452590379,5.1,-14.4905118891576,5.9,-10.8761449828396
7.5,9,8,1,2,0.75,2.45,-15.6677393151712,5.45,-12.0288809635165,,
7.75,9,8,0.5,2,0.75,2.45,-13.3515312653357,5.05,-14.3073383485133,5.85,-12.2939700704917
7.75,9,8,0.75,2,0.75,2.45,-17.3099994882152,5.1,-19.9587186698865,5.9,-12.3858444408318
7.75,9,8,1,2,0.75,2.4,-18.0632814340309,5.1,-19.0050249795724,5.85,-11.8335867889139
8,9,8,0.5,2,0.75,2.45,-16.0358142110214,5.05,-20.3148982245698,5.8,-13.247442340065
8,9,8,0.75,2,0.75,2.45,-17.1996022513296,5.05,-24.3862612120639,5.85,-13.9313798360104
8,9,8,1,2,0.75,2.4,-20.0654005996832,5.1,-69.3394110370078,5.9,-13.7662844220923
7.5,9.25,8,0.5,1.5,0.75,2.45,-11.6525535024078,5.15,-10.856621448682,5.8,-11.8181935779606
7.5,9.25,8,0.75,1.5,0.75,2.45,-14.817588460696,5.15,-13.9022952443923,5.75,-11.8780032801479
7.5,9.25,8,1,1.5,0.75,2.45,-14.4288062627578,5.15,-13.9828787425413,5.8,-12.6224387674523
7.75,9.25,8,0.5,1.5,0.75,2.45,-13.9938981723101,5.1,-16.0189607912557,5.7,-13.3607885878537
7.75,9.25,8,0.75,1.5,0.75,2.45,-17.1065493741191,5.1,-13.3990156822084,5.75,-14.7728006219899
7.75,9.25,8,1,1.5,0.75,2.4,-19.1800133056897,5.15,-15.5121400118081,5.8,-13.8057240210179
8,9.25,8,0.5,1.5,0.75,2.45,-16.3454012965082,5.1,-22.3069224650289,5.7,-15.4050888502885
8,9.25,8,0.75,1.5,0.75,2.4,-15.7090477545809,5.1,-21.3103979491755,5.7,-15.1792530131738
8,9.25,8,1,1.5,0.75,2.4,-28.2912222495947,5.1,-25.7920815565621,5.75,-16.8973557533359
7.5,9.25,8,0.5,1.75,0.75,2.45,-13.2448148325226,5.15,-12.3968985798356,5.8,-11.5673928090756
7.5,9.25,8,0.75,1.75,0.75,2.45,-12.8238417809282,5.1,-13.8292729614011,5.8,-12.2669729720692
7.5,9.25,8,1,1.75,0.75,2.4,-18.7759718860375,5.05,-13.0114950695945,5.75,-12.4593162614774
7.75,9.25,8,0.5,1.75,0.75,2.45,-14.5547012323955,5.1,-17.1161693433578,5.75,-13.2561604177056
7.75,9.25,8,0.75,1.75,0.75,2.4,-14.1933804358475,5.1,-18.8562702880962,5.8,-12.9841587615904
7.75,9.25,8,1,1.75,0.75,2.4,-24.7842265294101,5.1,-14.8615495811533,5.8,-13.645356163521
8,9.25,8,0.5,1.75,0.75,2.45,-14.6938680698013,5.1,-21.7041002138402,5.75,-13.5412139893339
8,9.25,8,0.75,1.75,0.75,2.4,-21.3559384488363,5.1,-29.1465542090025,5.75,-14.302709527009
8,9.25,8,1,1.75,0.75,2.4,-20.0265783283562,5.1,-20.6252559844438,5.8,-14.321978039587
7.5,9.25,8,0.5,2,0.75,2.45,-12.4996489835893,5.1,-14.3079324969,5.75,-10.6734849706922
7.5,9.25,8,0.75,2,0.75,2.4,-14.9608151971071,5.15,-12.8933100658302,5.85,-11.4476488812882
7.5,9.25,8,1,2,0.75,2.4,-18.1782697306211,5.15,-15.274766652794,5.85,-11.2985956780973
7.75,9.25,8,0.5,2,0.75,2.4,-12.8092873030309,5.1,-19.0757740392473,5.8,-12.2719128167766
7.75,9.25,8,0.75,2,0.75,2.4,-16.6306148251822,5.0,-14.3435197776424,5.75,-12.9751313575806
7.75,9.25,8,1,2,0.75,2.4,-16.9212492859477,5.1,-23.1846144087548,5.85,-12.3989483743659
8,9.25,8,0.5,2,0.75,2.4,-15.654071906494,5.05,-21.9482625651927,5.75,-13.5928709029074
8,9.25,8,0.75,2,0.75,2.4,-21.0354827491774,5.1,-17.1054290116967,5.8,-14.0501820580177
8,9.25,8,1,2,0.75,2.35,-18.3276233067712,5.1,-19.9302876653078,5.8,-13.4348924259261
7.5,9.5,8,0.5,1.5,0.75,2.4,-11.9412727903358,5.1,-11.233867656457,5.65,-12.5865902786429
7.5,9.5,8,0.75,1.5,0.75,2.4,-16.3036415109873,5.15,-12.2424626660497,5.7,-12.8156235628456
7.5,9.5,8,1,1.5,0.75,2.4,-14.6016095569286,5.15,-13.845983626568,5.7,-12.3289795022861
7.75,9.5,8,0.5,1.5,0.75,2.4,-14.2064833162864,5.1,-12.6032338987984,5.6,-13.7778990331567
7.75,9.5,8,0.75,1.5,0.75,2.4,-18.4257058942857,5.1,-15.098845273345,5.65,-13.6502019027773
7.75,9.5,8,1,1.5,0.75,2.35,-16.6922492965151,5.1,-15.3606328902688,5.7,-14.2805783759461
8,9.5,8,0.5,1.5,0.75,2.4,-15.9161045532683,5.0,-24.3762767772708,5.55,-16.769370147052
8,9.5,8,0.75,1.5,0.75,2.4,-16.7200941254013,5.1,-23.6565549186473,5.65,-15.2473538306835
8,9.5,8,1,1.5,0.75,2.35,-22.4650796335006,5.1,-34.6768093557696,5.65,-15.9197135635093
7.5,9.5,8,0.5,1.75,0.75,2.4,-13.3073197013052,5.15,-13.5194962351087,5.7,-11.6398064377173
7.5,9.5,8,0.75,1.75,0.75,2.35,-13.0202018080344,5.1,-13.2014384176717,5.7,-11.9192361811388
7.5,9.5,8,1,1.75,0.75,2.35,-21.0096534794082,5.15,-14.4366363329652,5.75,-12.5405035844736
7.75,9.5,8,0.5,1.75,0.75,2.4,-15.2559554401562,5.1,-15.1647350159537,5.7,-13.6244112689408
7.75,9.5,8,0.75,1.75,0.75,2.35,-15.4819172353402,5.15,-18.6225148000225,5.7,-13.0659109991743
7.75,9.5,8,1,1.75,0.75,2.35,-22.913037845685,5.1,-20.7925723137369,5.7,-14.1426402263343
8,9.5,8,0.5,1.75,0.75,2.4,-15.3006890994818,5.1,-25.0447212926929,5.7,-13.6808035578607
8,9.5,8,0.75,1.75,0.75,2.35,-22.4741012059938,5.1,-31.3932046983575,5.7,-14.8874975491449
8,9.5,8,1,1.75,0.75,2.35,-18.1699797410249,5.1,-21.1053413180328,5.7,-14.900008079815
7.5,9.5,8,0.5,2,0.75,2.4,-13.1246305226357,5.15,-13.863298461584,5.75,-11.3380169231828
7.5,9.5,8,0.75,2,0.75,2.35,-16.5118287824563,5.15,-14.830926460599,5.75,-11.680507615659
7.5,9.5,8,1,2,0.75,2.35,-18.795223589953,5.15,-17.5308618948652,5.8,-12.2373738969841
7.75,9.5,8,0.5,2,0.75,2.4,-12.1214541549793,5.05,-15.1487579235622,5.65,-13.5681524288338
7.75,9.5,8,0.75,2,0.75,2.35,-20.4008499350047,5.1,-21.5478743922503,5.75,-13.0069442066165
7.75,9.5,8,1,2,0.75,2.35,-15.9555227393903,5.05,-24.7419282965997,5.7,-13.6630277953151
8,9.5,8,0.5,2,0.75,2.35,-16.2508055429457,5.05,-26.4618629920873,5.7,-12.877141486461
8,9.5,8,0.75,2,0.75,2.35,-22.7277194047859,5.05,-22.097453234192,5.7,-14.8025715642941
8,9.5,8,1,2,0.75,2.3,-14.6545490842486,5.1,-20.2014420416497,5.75,-15.2016228623966
